,Date,Result
1231,13303.0,
1232,13304.0,
1233,13305.0,
1234,13306.0,
1235,13307.0,
1236,13308.0,
1237,13309.0,
1238,13310.0,
1239,13311.0,
1240,13312.0,
1241,13313.0,
1242,13314.0,
1243,13315.0,
1244,13316.0,
1245,13317.0,
1246,13318.0,
1247,13319.0,
1248,13320.0,
1249,13321.0,
1250,13322.0,
1251,13323.0,
1252,13324.0,
1253,13325.0,
1254,13326.0,1.75
1255,13327.0,
1256,13328.0,
1257,13329.0,
1258,13330.0,
1259,13331.0,
1260,13332.0,
1261,13333.0,
1262,13334.0,
1263,13335.0,
1264,13336.0,
1265,13337.0,
1266,13338.0,
1267,13339.0,
1268,13340.0,
1269,13341.0,
1270,13342.0,
1271,13343.0,
1272,13344.0,
1273,13345.0,
1274,13346.0,
1275,13347.0,0.629
1276,13348.0,
1277,13349.0,
1278,13350.0,
1279,13351.0,
1280,13352.0,
1281,13353.0,
1282,13354.0,
1283,13355.0,
1284,13356.0,
1285,13357.0,
1286,13358.0,
1287,13359.0,
1288,13360.0,
1289,13361.0,
1290,13362.0,
1291,13363.0,
1292,13364.0,
1293,13365.0,
1294,13366.0,
1295,13367.0,
1296,13368.0,
1297,13369.0,
1298,13370.0,
1299,13371.0,
1300,13372.0,
1301,13373.0,
1302,13374.0,
1303,13375.0,
1304,13376.0,
1305,13377.0,
1306,13378.0,
1307,13379.0,
1308,13380.0,
1309,13381.0,
1310,13382.0,12.1
1311,13383.0,
1312,13384.0,
1313,13385.0,
1314,13386.0,
1315,13387.0,
1316,13388.0,
1317,13389.0,
1318,13390.0,
1319,13391.0,
1320,13392.0,
1321,13393.0,
1322,13394.0,
1323,13395.0,
1324,13396.0,
1325,13397.0,
1326,13398.0,
1327,13399.0,
1328,13400.0,
1329,13401.0,
1330,13402.0,
1331,13403.0,
1332,13404.0,
1333,13405.0,
1334,13406.0,
1335,13407.0,
1336,13408.0,
1337,13409.0,
1338,13410.0,1.71
1339,13411.0,
1340,13412.0,
1341,13413.0,
1342,13414.0,
1343,13415.0,
1344,13416.0,
1345,13417.0,
1346,13418.0,
1347,13419.0,
1348,13420.0,
1349,13421.0,
1350,13422.0,
1351,13423.0,
1352,13424.0,
1353,13425.0,
1354,13426.0,
1355,13427.0,
1356,13428.0,
1357,13429.0,
1358,13430.0,
1359,13431.0,
1360,13432.0,
1361,13433.0,
1362,13434.0,
1363,13435.0,
1364,13436.0,
1365,13437.0,
1366,13438.0,
1367,13439.0,3.98
1368,13440.0,
1369,13441.0,
1370,13442.0,
1371,13443.0,
1372,13444.0,
1373,13445.0,
1374,13446.0,
1375,13447.0,
1376,13448.0,
1377,13449.0,
1378,13450.0,
1379,13451.0,
1380,13452.0,
1381,13453.0,
1382,13454.0,
1383,13455.0,
1384,13456.0,
1385,13457.0,
1386,13458.0,
1387,13459.0,
1388,13460.0,4.83
1389,13461.0,
1390,13462.0,
1391,13463.0,
1392,13464.0,
1393,13465.0,
1394,13466.0,
1395,13467.0,
1396,13468.0,
1397,13469.0,
1398,13470.0,
1399,13471.0,
1400,13472.0,
1401,13473.0,
1402,13474.0,
1403,13475.0,
1404,13476.0,
1405,13477.0,
1406,13478.0,
1407,13479.0,
1408,13480.0,
1409,13481.0,
1410,13482.0,
1411,13483.0,
1412,13484.0,
1413,13485.0,
1414,13486.0,
1415,13487.0,
1416,13488.0,
1417,13489.0,
1418,13490.0,
1419,13491.0,
1420,13492.0,
1421,13493.0,
1422,13494.0,
1423,13495.0,
1424,13496.0,
1425,13497.0,13.5
1426,13498.0,
1427,13499.0,
1428,13500.0,
1429,13501.0,
1430,13502.0,
1431,13503.0,
1432,13504.0,
1433,13505.0,
1434,13506.0,
1435,13507.0,
1436,13508.0,
1437,13509.0,
1438,13510.0,
1439,13511.0,
1440,13512.0,
1441,13513.0,
1442,13514.0,
1443,13515.0,
1444,13516.0,
1445,13517.0,
1446,13518.0,
1447,13519.0,
1448,13520.0,
1449,13521.0,
1450,13522.0,
1451,13523.0,12.5
1452,13524.0,
1453,13525.0,
1454,13526.0,
1455,13527.0,
1456,13528.0,10.7
1457,13529.0,
1458,13530.0,
1459,13531.0,
1460,13532.0,
1461,13533.0,
1462,13534.0,
1463,13535.0,
1464,13536.0,
1465,13537.0,10.1
1466,13538.0,9.83
1467,13539.0,
1468,13540.0,
1469,13541.0,
