,ID,E,N,ID_5kmsq,OID_,UNIQUE,A1,A2,A3,A2A3,A4,A10A11,A12,A19,A21,A22,A23,A24,A25,A27,A31,A32,A99G1,B5B14,B21,B99,C1,G1,G2,G5,K201,K202,K203,K204,K205,K206,K207,K208,K209,K210,K211,K299,M1M4M7,M1,M4,M7,M9,M13M14,M17,M98,L1TOL5,L9L14,L98,N98,P90,geometry
6191,513972,392500,537500,513972392500.0,5167,513972392500.0,0.0,0.0,1.63461,1.63461,0.0,0.0,0.0,0.37467,0.0,0.0,0.00161,0.0,0.0,0.0,0.28865,0.0,27.89817,0.0,0.0,0.0,0.0,25.59817,1260.74183,957.44,151.18883,149.97219,1.00976,30.4965,70.319,1.07444,27.00757,60.32133,1.72039,334.545,2.98707,830.61974,4307.12583,3630.55613,69.00837,607.56132,84.73754,199.28758,3912.39318,8503.54487,1.05171,2.10334,3.15503,298.55443,8.10425,POINT (-2.117989007663645 54.73242037723692)
6192,513973,397500,537500,513973397500.0,5168,513973397500.0,0.0,0.0,1.66304,1.66304,0.0,0.0,0.0,0.38118,0.0,0.0,0.00163,0.0,0.0,0.0,0.29367,0.0,25.22381,0.0,0.0,0.0,0.0,22.88381,1127.05619,1116.46,135.15717,134.06955,0.90269,27.26273,62.86256,0.96051,24.14376,53.92502,1.53796,299.07076,2.67033,742.54307,4350.54683,3667.1565,69.70406,613.68627,85.5918,201.29664,3951.83481,8589.27083,0.94042,1.88077,2.82117,266.9623,7.2449,POINT (-2.040343776503351 54.73247123429024)
6193,513974,402500,537500,513974402500.0,5169,513974402500.0,3.85529,1.78976,3.4188,5.20857,0.13197,0.16631,0.0,0.81919,0.0,0.0,0.0062,2.22862,0.0,0.0,0.41021,0.02682,60.37228,0.0,0.0,0.0,0.0,47.01529,1218.59471,833.63,167.20094,160.54576,0.87722,47.89996,75.15034,0.85466,26.69551,56.40974,1.32817,349.28702,2.82641,889.05256,3967.70762,3332.06298,85.1331,550.51154,81.98495,145.26751,3928.45198,8123.41176,3.06497,21.74493,24.80987,270.14362,11.69879,POINT (-1.962698421057166 54.73247237580927)
6194,513975,407500,537500,513975407500.0,5170,513975407500.0,67.15317,31.17492,25.75482,56.92974,2.29887,2.89695,0.0,6.52281,0.0,0.0,0.07476,38.81913,0.0,0.0,1.17747,0.46725,347.56076,0.0,0.0,0.0,0.0,162.455,1462.095,270.11,300.91203,266.83947,0.5822,145.18634,124.36231,0.15005,34.84281,58.65901,0.0,542.51993,3.10169,1477.12053,3446.06975,2866.58106,121.64342,457.84527,79.88961,41.40503,4129.56994,7696.93188,14.40315,128.66465,143.0678,252.17156,32.44059,POINT (-1.885053179085959 54.73242380178644)
6195,513976,412500,537500,513976412500.0,5171,513976412500.0,71.38176,44.46436,19.4606,63.92495,2.37691,2.97529,0.0,4.41769,0.64169,0.0,0.10837,39.38255,0.0,0.0,1.1155,3.97858,337.40263,0.0,0.00623,0.00623,0.03738,141.25009,1465.55991,212.5,283.84739,250.54614,4.64336,154.69392,143.76983,3.79861,39.38214,69.03067,4.2593,528.99114,36.35615,1519.28424,3143.99077,2686.88034,110.06027,347.05016,73.12917,54.12036,3949.40214,7220.63922,11.13873,267.37328,278.51214,242.15755,68.29017,POINT (-1.807408288348409 54.73232551254782)
6196,513977,417500,537500,513977417500.0,5172,513977417500.0,146.02781,83.5594,12.10636,95.66575,4.52692,3.83995,0.0,0.30741,3.66583,0.25124,0.15915,68.6701,0.64454,0.0,0.88674,15.51196,430.06192,0.0,0.07698,0.07698,0.13642,87.25532,988.40468,188.54,185.5178,136.58761,11.96281,155.19553,140.03116,11.08136,39.5237,70.97656,10.92625,301.94728,97.16283,1160.89198,1591.25549,1444.83075,48.71308,97.71165,38.65422,53.57638,2282.56631,3966.04955,3.41723,526.44005,529.85766,3706.75852,115.69246,POINT (-1.72976398659646 54.73217750875309)
6197,513978,422500,537500,513978422500.0,5173,513978422500.0,356.21351,129.01562,27.81077,156.8264,9.83241,2.65373,0.0,0.38874,9.35586,0.61441,0.10686,175.28819,3.70007,0.0,0.59537,47.34364,870.23551,0.0,0.14792,0.14792,0.09715,92.44059,782.77941,230.93,215.04771,140.26237,14.93994,246.21507,152.99622,16.19799,53.49842,74.39513,11.67851,264.25162,87.63986,1277.10084,1291.77624,1167.0523,38.97387,85.75007,31.85248,59.18845,1844.72209,3227.5372,20.07213,366.05501,386.1274,16391.22461,84.44301,POINT (-1.652120511570718 54.73197979139555)
6198,513979,427500,537500,513979427500.0,5174,513979427500.0,468.41483,181.08839,30.69342,211.78181,0.65293,0.48921,0.0,0.23569,3.5094,0.57613,3.2786,251.62504,5.72228,0.0,0.37779,40.43875,1038.43936,0.0,0.12439,0.12439,0.01767,49.3534,484.4566,255.76,181.20813,107.28672,12.05589,240.19407,122.02254,14.3488,48.79302,57.78215,8.66605,176.63408,56.37752,1025.35153,844.34671,758.46507,24.84486,61.03677,21.23179,51.87618,1198.64745,2116.101,34.66663,173.38257,208.04935,24168.53681,44.30738,POINT (-1.574478100995919 54.73173236180209)
6199,513980,432500,537500,513980432500.0,5175,513980432500.0,276.31513,127.55456,60.28551,187.84008,3.76119,2.23848,0.0,0.0,3.22938,0.0,20.25702,131.57455,3.28207,0.0,0.0,20.12233,740.31746,0.0,0.0,0.0,0.0,84.40181,599.47819,406.36,235.15414,132.15648,9.47107,294.73324,153.1388,12.44617,60.84589,71.47358,7.4504,228.67369,49.39933,1254.91943,1160.27322,1061.82035,28.87154,69.58133,29.6728,76.93231,1640.797,2907.67364,9.19942,128.70283,137.90228,17058.85645,58.06715,POINT (-1.496836992576325 54.73143522163314)
6200,513981,437500,537500,513981437500.0,5176,513981437500.0,578.23289,129.32302,70.18381,199.50683,2.21682,0.37909,0.0,0.0,10.68412,3.91036,0.0,157.65256,1.01503,0.0,0.0,21.83273,1040.45494,0.0,0.0,0.0,0.0,64.04494,419.26506,306.88,130.62423,95.67063,15.34615,228.33525,134.64603,14.70595,87.21578,65.47724,15.896,204.78752,54.76889,1047.45292,716.32459,659.11512,15.24175,41.96772,19.03496,30.28724,951.21675,1716.86235,7.29384,77.34162,84.63541,20879.3736,66.46135,POINT (-1.419197423991194 54.7310883728827)
