,Unnamed: 0,@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing,long,lat
50,51,http://environment.data.gov.uk/water-quality/data/measurement/MD-2852281-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-12-12 13:35:00,Nitrate-N,Nitrate as N,117,,30.8,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
51,52,http://environment.data.gov.uk/water-quality/data/measurement/MD-2852412-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-12-15 12:27:00,Nitrate-N,Nitrate as N,117,,32.7,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
52,53,http://environment.data.gov.uk/water-quality/data/measurement/MD-2828376-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39370300,MD-39370300,"CRESWELL STW, STSE",2010-01-19 10:41:00,Nitrate-N,Nitrate as N,117,,12.0,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),452560,373230,-1.2136660919481548,53.2534858415187
53,54,http://environment.data.gov.uk/water-quality/data/measurement/MD-2828881-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39370300,MD-39370300,"CRESWELL STW, STSE",2010-02-01 08:49:00,Nitrate-N,Nitrate as N,117,,14.9,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),452560,373230,-1.2136660919481548,53.2534858415187
54,55,http://environment.data.gov.uk/water-quality/data/measurement/MD-2829123-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39370300,MD-39370300,"CRESWELL STW, STSE",2010-02-03 15:15:00,Nitrate-N,Nitrate as N,117,,16.2,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),452560,373230,-1.2136660919481548,53.2534858415187
55,56,http://environment.data.gov.uk/water-quality/data/measurement/MD-2829920-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39370300,MD-39370300,"CRESWELL STW, STSE",2010-02-12 12:02:00,Nitrate-N,Nitrate as N,117,,15.4,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),452560,373230,-1.2136660919481548,53.2534858415187
56,57,http://environment.data.gov.uk/water-quality/data/measurement/MD-2830913-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39370300,MD-39370300,"CRESWELL STW, STSE",2010-03-02 10:33:00,Nitrate-N,Nitrate as N,117,,13.4,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),452560,373230,-1.2136660919481548,53.2534858415187
57,58,http://environment.data.gov.uk/water-quality/data/measurement/MD-2832029-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39370300,MD-39370300,"CRESWELL STW, STSE",2010-03-18 11:55:00,Nitrate-N,Nitrate as N,117,,15.2,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),452560,373230,-1.2136660919481548,53.2534858415187
58,59,http://environment.data.gov.uk/water-quality/data/measurement/MD-2832472-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39370300,MD-39370300,"CRESWELL STW, STSE",2010-03-25 11:20:00,Nitrate-N,Nitrate as N,117,,10.2,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),452560,373230,-1.2136660919481548,53.2534858415187
59,60,http://environment.data.gov.uk/water-quality/data/measurement/MD-2832857-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39370300,MD-39370300,"CRESWELL STW, STSE",2010-04-07 10:47:00,Nitrate-N,Nitrate as N,117,,14.4,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),452560,373230,-1.2136660919481548,53.2534858415187
60,61,http://environment.data.gov.uk/water-quality/data/measurement/MD-2834160-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39370300,MD-39370300,"CRESWELL STW, STSE",2010-04-25 10:42:00,Nitrate-N,Nitrate as N,117,,16.3,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),452560,373230,-1.2136660919481548,53.2534858415187
61,62,http://environment.data.gov.uk/water-quality/data/measurement/MD-2834827-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39370300,MD-39370300,"CRESWELL STW, STSE",2010-05-08 10:33:00,Nitrate-N,Nitrate as N,117,,15.6,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),452560,373230,-1.2136660919481548,53.2534858415187
62,63,http://environment.data.gov.uk/water-quality/data/measurement/MD-2836668-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39370300,MD-39370300,"CRESWELL STW, STSE",2010-06-04 12:23:00,Nitrate-N,Nitrate as N,117,,16.5,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),452560,373230,-1.2136660919481548,53.2534858415187
